name,description,image,adapts_well_to_apartment_living,good_for_novice_owners,sensitivity_level,tolerates_being_alone,tolerates_cold_weather,tolerates_hot_weather,affectionate_with_family,kid_friendly,dog_friendly,friendly_toward_strangers,amount_of_shedding,drooling_potential,easy_to_groom,general_health,potential_for_weight_gain,size,easy_to_train,intelligence,potential_for_mouthiness,prey_drive,tendency_to_bark_or_howl,wanderlust_potential,energy_level,intensity,exercise_needs,potential_for_playfulness,dog_breed_group,height,weight,life_span 
polish lowland sheepdog,"Originally bred for herding and guarding, the Polish Lowland Sheepdog is still an excellent working dog breed. Theyre obedient and fearless, good-natured with people and other dogs, but highly protective of their flock.Even though these are purebred dogs, you may find them in the care of shelters or rescue groups. Remember toadopt! Dont shop if you want to bring a dog home.Polish Lowland Sheedogs are intelligent, active, strong, and handsome with their characteristic multicolored, shaggy coat. In recent years, theyve gained popularity as a companion dog. Theyre highly affectionate with their human families and can even adapt to apartment life. Novice pet parents should beware, though, as these pups need plenty of exercise, and their coats need frequent grooming sessions to stay tangle free. If you can provide lots of physical activity and dont mind a bit of extra brushing, this may be the breed for you!",https://www.dogtime.com/assets/uploads/2011/01/file_23194_polish-lowland-sheepdog-460x290.jpg,4,2,4,3,4,4,5,4,3,3,1,1,1,4,3,3,4,4,3,3,2,3,4,3,4,4,Herding Dogs,17 to 20 inches tall at the shoulder,35 to 55 pounds,10 to 12 years
pomapoo,"The Pomapoo is a mixed breed dog  a cross between the Pomeranian and ToyPoodle dog breeds. Compact, intelligent, and affectionate, these pups inherited some of the best qualities from both of their parents.Pomapoos are also called Pooranian, Pompoo, and Pomeroodle. Despite their unfortunate status as a designer breed, you may find these mixed breed dogs in shelters and rescues, so remember to adopt! Dont shop!These adorable pups make great apartment dogs, and they also work well in large households. Socialize them early to bring out their best qualities and ensure a friendly, confident pup. Read on, to find out if this mixed breed is the right dog for you.",https://www.dogtime.com/assets/uploads/2019/08/pomapoo-mixed-dog-breed-pictures-cover.jpg,5,5,4,1,3,2,5,3,3,3,3,1,1,3,4,1,4,4,3,2,3,1,3,3,3,4,Mixed Breed Dogs,8 to 10 inches,5 to 15 pounds,12 to 15 years
pomchi,"The Pomchi is a mixed-breed dog  a cross between the Pomeranian and the Chihuahua dog breeds. Playful, devoted, and energetic, these small pups inherited some of the best qualities from both of their parents.Pomchis go by several names, including Pomahuahua, Chimeranian, Chi-Pom, and Pom-Chi. Despite their unfortunate status as a designer breed, you may find these mixed breed dogs in shelters and rescues. So remember to adopt! Dont shop!These adorable pups make excellent apartment dogs for active urban dwellers, and they also do well in small and single-person households. If youre looking for a small, attention-loving dog with a lot of spunk, then the Pomchi may be the right dog for you!",https://www.dogtime.com/assets/uploads/2019/08/pomchi-mixed-dog-breed-pictures-cover.jpg,4,3,3,3,2,4,4,3,3,3,3,1,2,5,4,1,3,4,4,3,4,3,3,4,3,4,Mixed Breed Dogs,6 to 10 inches,4 to 12 pounds,12 to 18 years
pomeagle,"The Pomeagle is a mixed breed dog  a cross between the Pomeranian and Beagle dog breeds. Small, affectionate, and curious by nature, these pups inherited some of the best qualities from both of their parents.Pomeagles also go by the names Beagle Pom or Pomeranian Beagle mix. Despite their unfortunate status as a designer breed, you may find these mixed breed dogs in shelters and rescues, so remember to adopt! Dont shop!These adorable pups do well in apartments and houses with fenced yards. Just make sure the yard is secure, as they have a tendency to track and follow scents. Their wanderlust could lead them into dangerous situations, like traffic. So be careful and take extra precautions.They also do well in large families with older children. Pomeagles love endless play sessions and activity. They should not be left alone for long periods. Multiple pet families would be ideal. Isolation is their biggest enemy.See below for all Pomeagle facts and mixed dog breed characteristics!",https://www.dogtime.com/assets/uploads/2019/08/pomeagle-mixed-dog-breed-pictures-cover.jpg,4,4,4,1,3,2,5,3,3,3,4,1,2,3,4,1,3,2,3,3,5,4,4,3,3,4,Mixed Breed Dogs,6 to 11 inches,5 to 25 pounds,12 to 15 years
pomeranian,"Descended from large sled dog breeds, the now-tiny Pomeranian has a long and interesting history. The foxy-faced dog, nicknamed the little dog who thinks he can, is compact, active, and capable of competing in agility and obedience or simply being a family friend.Even though these are purebred dogs, you may find them in the care of shelters or rescue groups. Remember toadopt! Dont shop if you want to bring a dog home.Poms may be small, but they dont always act that way and may even challenge larger dogs. While they make for good apartment pets, they can also bark a lot, which your neighbors may not be too thrilled about. But as long as you give your dog plenty of exercise and playtime, keep them out of hot weather, and give them lots of love and attention, youll have a loving, adorable, furry family companion!",https://www.dogtime.com/assets/uploads/2011/01/file_23122_pomeranian-460x290.jpg,4,4,4,1,4,2,5,2,2,3,4,1,2,3,4,1,4,4,2,2,5,1,3,2,2,3,Companion Dogs,7 to 12 inches tall at the shoulder,3 to 7 pounds,12 to 16 years
pomsky,"Cute, silly, and suited for apartment life, the Pomsky is a dog who likes to be the center of attention, and with their adorable looks and playful antics, they often get the adoration they crave.Their unfortunate start as a designer breed mixed between Siberian Husky and Pomeranian parents hasnt stopped them from earning popularity with dog lovers. Unfortunately, those who rush to buy Pomsky puppies from breeders often find themselves overwhelmed and unprepared for their needs.Because of that, these mixed breed dogs sometimes end up in the care of shelters or rescues. You should always consider adoption first. Plenty of groups can help you find Pomskies looking for forever homes if this is the mixed breed for you.",https://www.dogtime.com/assets/uploads/2017/10/pomsky-dog-breed-pictures-header-460x260.jpg,5,2,4,1,5,3,5,2,3,3,4,1,2,3,3,2,3,4,3,4,5,2,4,2,3,4,Mixed Breed Dogs,10 to 15 inches,7 to 38 pounds,12 to 15 years
poochon,"The Poochon is a mixed breed doga cross between the Toy Poodle and Bichon Frise dog breeds. Small, happy, and intelligent, these pups inherited some of the best qualities from both of their parents. Researching their parents can offer much insight into their personalities and characteristics.Poochons are also called Bichpoo, Bichon Poo, and Bichon Poodle . Despite their unfortunate status as a designer breed, you can find these mixed-breed dogs in shelters and breed specific rescues, so remember to adopt! Dont shop!These adorable pups would be a great addition to a big family or single person household. They would also do well in an apartment. Just make sure to start training early to curb excessive barking. If you want a playful, cuddly, low-shed pup, who will love you unconditionally, the Poochon may be the right dog for you!",https://www.dogtime.com/assets/uploads/2019/07/poochon-mixed-dog-breed-pictures-cover.jpg,5,5,5,1,3,4,5,5,4,4,1,1,1,3,4,2,5,4,3,3,2,2,4,3,4,5,Mixed Breed Dogs,9 to 15 inches,6 to 17 pounds,12 to 15 years
poodle,"Elegant. Proud. Clever. The Poodle is an impressive dog, as the many best-in-show winners from this dog breed can attest. But behind the blue ribbons, impressive hairdos, and regal attitude, youll find an affectionate family dog with an ancient history and many talents.Even though these are purebred dogs, you may find them in the care of shelters or rescue groups. Remember toadopt! Dont shop if you want to bring a dog home.Poodles are regarded as one of the most intelligent breeds in the world. Theyre highly trainable and well suited for just about any task you put them to  and you will want to give them tasks to do. Bored Poodles can get destructive if they arent physically and mentally stimulated. But active owners who can meet their dogs needs will find a loving, smart, trainable, and loyal family companion.",https://www.dogtime.com/assets/uploads/2011/01/file_23200_poodle-460x290.jpg,5,5,4,1,3,4,5,5,4,4,1,1,1,2,4,4,5,5,4,2,2,3,4,3,4,5,Companion Dogs,From 10 to over 22 inches tall at the shoulder,6 to 70 pounds,12 to 15 years
portuguese podengo pequeno,"The Portuguese Podengo Pequeno is a purebred dog from Portugal and is the smallest of the three Portuguese Podengo size classes that are not interbred. Alert, lively, and playful, these pooches are a compact-but-charming bunch to be around.Portuguese Podengo Pequenos go by several other names, such as Podengo Portuguese, Portuguese Warren Hound, and the Portuguese Rabbit Dog. If you want to bring one of these small, purebred dogs home, you can check your local shelters or rescues near you. Remember to adopt and not shop!These small pups make great apartment dogs for city dwellers due to their size and temperament. They are well-suited for households of all types, including singles and families with children of all ages. They are quite lively and will bark once and a while. If you want a playful and active pup who will keep you on your toes, alert you to any potential dangers, and love you unconditionally, this may be the right breed for you!",https://www.dogtime.com/assets/uploads/2019/09/Portuguese-Podengo-Pequeno-dog-breed-pictures-cover.jpg,5,4,3,3,2,3,4,4,4,4,3,1,4,4,2,1,4,3,3,4,4,3,5,3,3,3,Hound Dogs,8 to 12 inches,9 to 13 pounds,12 to 15 years
portuguese pointer,"The Portuguese Pointer is a dog breed from the Iberian Peninsula of Portugal, and their origins date all the way back to the 12th century. Officially classified as a sporting dog, they also fit into the bird dog categories. Originally bred for falconry work with the royals, the Portuguese Pointer is a versatile dog and is also considered by many to be the ultimate gun dog.The Portuguese Pointer is also called Perdigueiro Portugues, meaning Partridge Portuguese. They have a strong desire to please and are alert, loyal and very protective of their family. Perdigueiros are playful and good with kids, so theyre ideal family pets.If youre considering adopting a Portuguese Pointer, then make sure that youre the right fit for this dog as well. Give them a job to do, and teach them new tasks. Continual training will help them feel challenged and on track to mental well-being. Though lots of praise and treats rewards will go a long way too.An ideal home for Portuguese Pointer will have a secure yard for them to roam and indoor living with their family combined with lots of love and praise. Dont ignore or leave them alone for long periods of time. Portuguese Pointers can feel pent up and get destructive.Portuguese Pointers are still used today in Portugal for falconry work and red-legged partridge hunting, with regular class folks as well as royals.",https://www.dogtime.com/assets/uploads/2020/07/portuguese-pointer-dog-breed-pictures-cover.jpg,1,1,4,1,3,3,4,4,2,4,1,3,4,4,4,3,4,4,3,4,2,3,4,5,4,4,Sporting Dogs,20 to 22 inches,35 to 59 pounds,12 to 14 years
portuguese sheepdog,"In Portugal, people call the Portuguese Sheepdog co da Serra de Aires, which is the name of a mountain range in the breeds native land. Theyre also nicknamed co macaco, which translates to monkey dog, due to the breeds habit for making quizzical expressions that remind people of monkeys.The Portuguese Sheepdog is a herding breed who is totally devoted to their flock, though today they usually act more as a watchdog and companion dog. Theyre usually found in their native lands of Portugal. Theyre also very rare with only a small number in existence today.Although these are rare, purebred dogs, you may still find them in shelters and rescues. Remember to adopt! Dont shop if this is the breed for you.This dog would make an excellent addition to a family or person who has dog experience. A home with a secure yard is a must for this intelligent and lively breed. They thrive on family activities and are very loyal, forming strong bonds with their families.",https://www.dogtime.com/assets/uploads/2020/07/portuguese-sheepdog-breed-pictures-cover.jpg,2,2,4,2,4,3,4,4,4,2,2,1,4,5,4,4,3,5,3,2,4,2,4,3,4,3,Herding Dogs,16 to 22 inches,37 to 59 pounds,12 to 13 years
portuguese water dog,"Portuguese Water Dogs once served as crew on fishing trips, retrieving lost gear and herding fish into nets.Today, this dog breed makes for a fun-loving family companionrepresented by Bo Obama, former First Dog of the U.S.who still retains their intelligence and love of the water, not to mention the webbed feet, that made them so valuable to their human family.DogTime recommends this dog bed to give a good nights sleep to your medium-sized Portuguese Water Dog.You should also pick up this dog brush and massager for your long-haired pup!",https://www.dogtime.com/assets/uploads/2011/01/file_22940_portuguese-water-dog-460x290.jpg,4,3,4,2,4,3,5,5,5,3,1,1,2,4,3,3,4,5,5,3,3,3,5,3,5,5,Working Dogs,"1 foot, 5 inches to 1 foot, 11 inches tall at the shoulder",35 to 60 pounds,10 to 14 years
pudelpointer,"The Pudelpointer was developed in the late 1800s to be the perfect hunting dog by combining the German Hunting Poodle, or Pudel, with an English Pointer.The German Pudelpointer is also sometimes known as a Pudel, Pudlepointer, or the Poodle Pointer.Although these are purebred dogs, you may still find them in shelters and rescues. Remember to adopt! Dont shop, whenever possible, if this is the breed for you.This hunting breed is friendly and eager to please, but they also have a lot of energy. Theyre best suited for someone whos really active. A large yard helps, but these dogs thrive on interaction with their favorite humans. Pudelpointers arent game or gun-shy, which obviously makes them an excellent choice for working and hunting purposes as well. If youre someone who has a lot of energy and wants a bigger dog with all the loyalty in the world, this just might be the right dog for you.",https://www.dogtime.com/assets/uploads/2020/09/pudelpointer-dog-breed-pictures-cover.jpg,2,3,1,2,3,3,4,3,3,3,3,2,3,4,3,4,4,4,3,4,2,4,4,3,5,3,Working Dogs,21 to 27 inches,40 to 65 pounds,10 to 14 years
pug,"The Pug is often described as a lot of dog in a small space. These sturdy, compact dogs are a part of the American Kennel Clubs Toy group, and are known as the clowns of the canine world because they have a great sense of humor and like to show off.Even though these are purebred dogs, you may find them in the care of shelters or rescue groups. Remember toadopt! Dont shop if you want to bring a dog home.Originally bred to be lap dogs, Pugs thrive on human companionship. Theyre highly sensitive, and though they can make for great apartment pets, they will not appreciate being left home alone for long hours of the day. Although these pups have a stubborn side, especially when it comes to house training, theyre playful, affectionate dogs who will get along well even with novice pet parents. If youre looking for a loving, easygoing pal, this may be the breed for you!",https://www.dogtime.com/assets/uploads/2011/01/file_23124_pug-460x290.jpg,5,5,3,1,2,1,5,4,4,4,5,1,5,1,5,2,3,2,2,3,2,2,3,4,3,5,Companion Dogs,10 to 14 inches tall at the shoulder,14 to 18 pounds,12 to 15 years
pugalier,"The Pugalier is a mixed breed dog  a cross between the Pug andCavalier King Charles Spanieldog breeds. Small, adorable, and loyal, these pups inherited some of the best qualities from both of their parents.Pugaliers usually dont go by other names except maybe Pug/Cavalier King Charles Spaniel mix. Despite their unfortunate status as a designer breed, you may find these pups, in shelters and breed specific rescues, so remember to adopt! Dont shop!These adorable pups make great family additions foractive singles or families with children of all ages. Large homes or small apartments suit them fine. As long as you provide plenty of love, these pups are quite versatile and can thrive in almost any environment. If youre looking for a companion to charm you, this may be your next pup!",https://www.dogtime.com/assets/uploads/2019/11/pugalier-mixed-dog-breed-pictures-cover.jpg,5,5,5,2,2,2,5,5,5,5,4,1,4,3,5,2,4,3,3,3,3,2,3,3,3,5,Mixed Breed Dogs,10 to 14 inches,10 to 20 pounds,12 to 15 years
puggle,"The Puggle is a hybrid or mixed breed dog  a cross between the Beagle and Pugbreeds. Theyve become fairly popular, thanks to their fun-loving personality and cute looks.Although these dogs sometimes have the unfortunate status of designer breed, you may find them in the care of shelters and rescue groups.Remember toadopt! Dont shop if you want to bring a dog home.Puggles get along with kids and other dogs, and can make a great family companion. Just be aware that they may enjoy barking, and although theyre intelligent and loving, theyre not always eager to please when it comes to training.",https://www.dogtime.com/assets/uploads/2011/01/file_23212_puggle-460x290.jpg,4,5,3,3,3,3,3,5,5,5,3,1,5,4,5,2,2,3,3,2,4,5,3,2,3,3,Hybrid Dogs,13 to 15 inches tall at the shoulder,18 to 30 pounds,10 to 15 years
puli,"Best known for their long, corded coat resembling dreadlocks, the Puli is a hardworking herding dog and family companion. Energetic and lively, this mop-like dog breed hailing from Hungary appears much larger than they are due to that distinctive coat.Even though these are purebred dogs, you may find them in the care of shelters or rescue groups. Remember toadopt! Dont shop if you want to bring a dog home.Thanks to their self-confidence and intelligence, the Puli will have no problem being the center of attention in your home. These dogs are as affectionate as they are energetic. But novice pet parents should beware, as all that energy needs somewhere to go in the form of vigorous exercise and lots of playtime. Although the breeds coat is fairly allergy friendly, it has specific grooming requirements. But if you can provide a pup with plenty of love, physical activity, and extra fur maintenance, youll be rewarded with a loving and loyal furry family member who turns heads with their unique looks!",https://www.dogtime.com/assets/uploads/2011/01/file_23196_puli-460x290.jpg,4,1,4,2,4,3,5,5,5,2,1,1,1,5,3,3,2,4,3,4,4,5,5,5,5,5,Herding Dogs,16 to 17 inches tall at the shoulder,25 to 35 pounds,10 to 15 years
pyredoodle,"The Pyredoodle is a mixed breed doga cross between the Great Pyrenees and Standard Poodle dog breeds. Calm, fearless, and loyal, these pups inherited some of the best traits from both of their parents.Pyredoodles go by a few other names, including Pyreneespoo, Pyrepoo, and Pyreneesdoodle. Despite their unfortunate status as a designer breed, you can find these mixed breed dogs in shelters and breed specific rescues, so remember to adopt! Dont shop!These adorable pups make great pets for single people and families alike. They can even adapt to apartment living, but theyre best suited for a home with a yard due to their larger size. Theyre generally quiet, but will bark to alert their humans of any dangers and are known to become very protective of children in their household. If youre looking for a gentle giant with a big heart that will guard your home and your family, the Pyredoodle may be the right dog for you!DogTime recommends this big, spacious crate to give your big Pyredoodle a place to rest and relax.You should also pick up this dog brush and massager for your long-haired pup!",https://www.dogtime.com/assets/uploads/2020/03/pyredoodle-mixed-dog-breed-pictures-cover.jpg,3,4,3,3,4,3,5,4,4,3,2,2,3,4,3,4,3,5,3,2,3,5,4,3,4,5,Mixed Breed Dogs,15 to 32 inches,85 to 100 pounds,10 to 12 years
pyrenean mastiff,"The Pyrenean Mastiff, also known asMastn del Pirineo, comes from northeastern Spain. The exact origin of the breed is unknown, but it is speculated to have evolved from Molossers. Humans relied on them to be guardians and protectors of livestock.Although these are purebred dogs, you may still find them in shelters and rescues. Remember to adopt! Dont shop if this is the breed for you.Pyrenean Mastiffs are kind and gentle, which makes for a perfect family fit.The breed has a calm temperament and does well with family or alone. The dogs are great with kids, but you should always supervise due to the breeds size. In addition to being an excellent family dog, your Mastiff will also be a great protector. They do well with other humans but can be wary of strangers if they sense a threat.",https://www.dogtime.com/assets/uploads/2020/08/Pyrenean-Mastiff-Dog-Breed-Pictures-cover.jpg,2,2,4,4,4,3,4,4,4,1,3,5,3,4,2,5,3,4,2,2,3,1,4,4,3,3,Working Dogs,24 to 31 inches,130 to 200 pounds,10 to 13 years
pyrenean shepherd,"These lean but muscular dogs have breathtaking speed, grace, and intelligence. The Pyrenean Shepherds passion for their family is matched only by their passion for work, and parents of thisdog breedshould be prepared to give their dogs a job to do, whether its a competitive dog sport or a flock of sheep to boss around.Even though Pyr Sheps, as theyre sometimes called for short, are purebred dogs, you may find them in the care of shelters or rescue groups. Remember toadopt! Dont shop if you want to bring a dog home.These dogs can make excellent, affectionate companions who will get along with all humans in the home, even kids! Just make sure to supervise playtime, as with all children and dogs. Pyr Sheps can even adapt to apartment living, but they have high energy and exercise needs, so make sure you can keep up with them on plenty of walks. Agility training will also keep them busy, and they excel at many dog sports when properly trained. If you want a dog who will keep you moving, this may be the breed for you!",https://www.dogtime.com/assets/uploads/2011/01/file_23246_pyrenean-shepherd-460x290.jpg,5,2,4,1,4,3,5,5,2,2,3,1,3,2,3,2,2,4,3,4,5,2,4,5,5,5,Herding Dogs,15 to 21 inches tall at the shoulder,25 to 30 pounds,15 to 17 years
rat terrier,"Members of the Rat Terrier dog breed are adorable, little, digging escape artists who are true terriers: feisty, funny, energetic, lively, vermin-chasing, and incapable of being boring. Stubborn as all get out, they are not big on pleasing people, but the people who love them laugh all the time.Even though these are purebred dogs, you may find them in the care of shelters or rescue groups. Remember toadopt! Dont shop if you want to bring a dog home.The Rat Terrier is the ideal farm dog that they were always intended to be. President Theodore Roosevelt is said to have given the breed its name after his own terrier had eradicated the rat infestation at the White House; clearly, the Rat Terrier excels as a public servant  as long as its in their own best interest. Theyre an American tradition just like apple pie, but watch your plate, or you may find youre missing dessert.",https://www.dogtime.com/assets/uploads/2011/01/file_23226_rat-terrier-dog-breed.jpg,5,3,4,3,1,4,4,5,3,4,4,1,5,4,3,1,5,4,2,4,4,4,5,4,4,5,Terrier Dogs,13 to 16 inches tall at the shoulder,13 to 18 years,
redbone coonhound,"The Redbone Coonhound dog breed is a medium-sized houndwho has a gorgeous red coat, the pleading expression common to hounds everywhere, and a sweet voice that sings out when theyre on the hunt. However, they also bark a lot when theyre not on the hunt, and take a lot of patience to train.Even though these are purebred dogs, you may find them in the care of shelters or rescue groups. Remember toadopt! Dont shop if you want to bring a dog home.Sensitive and affectionate, these dogs adore their human families and can even make great playmates for kids so long as they go through early socialization training. Of course, you must always supervise playtime between children and dogs  even well trained dogs. As an intelligent and energetic breed, Redbone Coonhounds need plenty of mental and physical exercise, or else they may get bored and act out. Keep them busy, and youll have a happy, active family companion.",https://www.dogtime.com/assets/uploads/2011/01/file_23248_redbone-coonhound-460x290.jpg,4,2,5,2,3,2,5,5,4,3,2,4,5,3,3,3,3,4,4,4,4,5,4,4,5,5,Hound Dogs,21 to 27 inches tall at the shoulder,45 to 70 pounds,10 to 12 years
rhodesian ridgeback,"The handsomeRhodesian Ridgebackdog breed was created in Africa to be a versatile hunter and home guardian. These days, Theyre less likely to hunt lions and more likely to hunt a soft spot on the sofa after going jogging with you.Even though these are purebred dogs, some may still end up in the care of shelters or rescues. Consider adoption if this is the breed for you.Rhodesian Ridgebacks are smart but sometimes stubborn, with a moderate energy level and an easy-care coat. These pups need plenty of activity and exercise, though, and would not fair as well in an apartment living situation. Theyd also probably fit in better with an experienced pet parent who can stay consistent with training. Meet the breeds needs and youll be rewarded with a loyal, lifelong companion.DogTime recommends this big, spacious crate to give your bigRhodesian Ridgeback a place to rest and relax.You should also pick up this dog brush and massager for your short-haired pup!",https://www.dogtime.com/assets/uploads/2011/01/file_23042_rhodesian-ridgeback-460x290.jpg,1,2,4,2,3,3,5,4,4,3,4,1,5,4,3,4,2,4,3,5,1,5,4,4,5,5,Hound Dogs,24 to 27 inches tall at the shoulder,70 to 85 pounds,10 to 12 years
rottador,"The Rottador is a mixed breed doga cross between the Rottweiler andLabrador Retrieverdog breeds. Large, energetic, and loyal, these pups inherited some of the best qualities from both of their parents.The Rottador is also called the Labrottie, Labweiller, Rottwador and Rott n Lab. Despite their unfortunate status as a designer breed, you can find these mixed breed dogs in shelters and breed specific rescues, so remember to adopt! Dont shop!Rottadors make a great choice for a variety of ownershouse or apartment, single person home or large family. Affectionate and loyal, this dog would quickly become the best friend to almost anyone. These dogs areprotective and make awesome watchdogs. Dont leave them alone for long periods, though, or else they may become bored and destructive.",https://www.dogtime.com/assets/uploads/2019/11/rottador-mixed-dog-breed-pictures-cover.jpg,3,2,5,1,4,3,5,4,3,3,4,4,5,2,5,4,4,5,4,3,4,3,5,5,5,5,Mixed Breed Dogs,24 to 27 inches,70 to 115 pounds,10 to 12 years
rottle,"The Rottle is a mixed breed dog  a cross between the Rottweiler and Poodle dog breeds. Playful, intelligent, and eager to please, these pups inherited some of the best qualities from both of their parents.Rottles go by several names, including Rottipoo and Rottidoodle. Despite their unfortunate status as a designer breed, you may find these mixed breed dogs in shelters and breed specific rescues, so remember to adopt! Dont shop!These adorable pups can be excellent apartment dogs for active urban dwellers, though they do tend to thrive in homes with families. If you want a highly intelligent dog who loves to cuddle and please their humans, this might be the right dog for you!See below for all Rottle facts and mixed dog breed characteristics!",https://www.dogtime.com/assets/uploads/2019/12/rottle-mixed-dog-breed-pictures-cover.jpg,4,3,3,3,3,3,5,4,3,3,2,2,4,4,3,3,5,5,3,3,2,2,4,3,4,5,Mixed Breed Dogs,12 to 27 inches,60 to 90 pounds,9 to 15 years
rottweiler,"The Rottweiler was originally dogs bred to drive cattle to market. Later they were used to pull carts for butchers. They were among the earliest police dogs and serve with honor in the military.Most important, they are popular family guardians and friends. Novice pet parents should beware, as these dogs are strong and intense. They need experienced care and training. Consistent, energetic pet parents will find a loving, faithful, and intelligent friend for life in a Rottie!Its important to remember that dogs of any breed can suffer from health issues throughout their lives. A good pet insurance plan can help you prepare to give your dog the care they need at any age. Click here to get a pet insurance plan for your Rottweiler!",https://www.dogtime.com/assets/uploads/2011/01/file_22942_rottweiler-460x290.jpg,2,1,4,1,2,3,5,4,2,4,4,4,5,2,5,3,4,5,3,4,4,2,4,4,4,5,Working Dogs,22 to 27 inches tall at the shoulder,85 to 130 pounds,8 to 11 years
saint berdoodle,"The Saint Berdoodle is a mixed breed dog  a cross between the Saint Bernard and Poodle dog breeds. Friendly, intelligent, and loyal, Saint Berdoodles are great family dogs.The Saint Berdoodle is also known as the Saint Berpoo, St. Berpoo, and St. Berdoodle.Although they are designer dogs, you may find them at shelters or breed specific Saint Bernard and Poodle rescues.These affectionate pups would do best in a home where they can be around family most of the time. Though both parent breeds have tendencies for curiosity that may lead to mischief, especially the St. Bernard, with early training and socialization, this trait can be honed to be helpful, rather than destructive. While theres also a range of energy levels for these dogs, its best to be prepared for a large dog who may need space or extra attention around small children. Saint Berdoodles are versatile dogs who just want to love and be part of the family.See below for all Saint Berdoodle facts and mixed dog breed characteristics!",https://www.dogtime.com/assets/uploads/2019/08/saint-berdoodle-mixed-dog-breed-pictures-cover.jpg,2,5,3,2,4,3,5,5,5,4,3,1,4,4,3,4,4,4,3,3,3,3,3,3,3,3,Mixed Breed Dogs,15 to 30 inches,40 to 180 pounds,8 to 12 years
saint bernard,"Originally the Saint Bernard dog breed guarded the grounds of Switzerlands Hospice Saint Bernard as well as to help find and save lost and injured travelers.Today Saint Bernards enjoy the comforts of family life in many homes across the world. Theyre affectionate with just about everyone they meet, and people who dont mind a bit of drool will find them to be loving companions. Theyre also versatile and excel in the show ring and in obedience trials, drafting (pulling a cart or wagon), and weight pulling competitions.DogTime recommends this big, spacious crate to give your big St. Bernard a place to rest and relax. You should also pick up this dog de-shedder for your high shedding pup!",https://www.dogtime.com/assets/uploads/2011/01/file_22944_saint-bernard-460x290.jpg,3,2,4,1,5,1,5,5,5,5,4,5,2,2,4,5,2,4,3,1,1,2,3,2,2,4,Working Dogs,"2 feet, 2 inches to 2 feet, 6 inches tall at the shoulder",120 to 180 pounds,8 to 10 years
saluki,"One of the oldest of dog breeds, Salukis were once considered a gift from Allah. Theyre fast as the wind, skinny as a supermodel, and quietly devoted to their people.Even though these are purebred dogs, some may still end up in the care of shelters or rescues. Consider adoption if this is the breed for you.A Saluki is easy to groom, challenging to train, and not to be trusted off leash. Not well-suited for apartment life or for being left home alone all day, these dogs need space to roam, preferably in a yard with a high fence, as they have a high prey drive and will wander if allowed. Theyd also fair better with an experienced pet parent who can stay firm and consistent with training while providing them with the exercise they need. Give your Saluki the love and care they crave, and youll have a loyal, lifelong companion.DogTime recommends this big, spacious crate to give your big Saluki a place to rest and relax.You should also pick up this dog fetch toy to help burn off your pups high energy!",https://www.dogtime.com/assets/uploads/2011/01/file_23044_saluki-460x290.jpg,1,2,5,1,2,3,5,4,4,1,2,1,4,4,1,4,4,4,4,5,1,5,5,2,5,5,Hound Dogs,23 to 28 inches tall at the shoulder,35 to 70 pounds,12 to 14 years
samoyed,"Originally bred to hunt, haul sledges, and herd reindeer, the Samoyed dog breed proved a valuable companion for northwestern Siberias Samoyede people. Among the breeds duties: pack hiking, tracking, and warming their owners by sleeping on top of them at night.As a working breed, Samoyeds can be strong-willed at times, but above all they remain friendly, gentle, and devoted family dogs. Theyre affectionate with almost everyone, so long as new people dont mind some shedding and stray hairs on their clothes.DogTime recommends this dog bed to give a good nights sleep to your medium-sized Samoyed.You should also pick up this dog de-shedder for your high shedding pup!",https://www.dogtime.com/assets/uploads/2011/01/file_22946_Samoyed-dog-breed.jpg,2,2,4,2,5,1,5,5,5,5,5,2,1,3,4,3,3,3,3,5,3,4,5,2,5,5,Working Dogs,"1 foot, 7 inches to 2 feet tall at the shoulder",50 to 60 pounds,12 to 14 years
samusky,"The Samusky is a mixed breed doga cross between the Samoyed and the Siberian Husky dog breeds. Highly intelligent, loyal, and good-natured, these pups inherited some of the best qualities from both of their parents.The Samusky goes by several other names, including Samsky or simply Samoyed Husky mix. Despite their status as a designer breed, you may find these mixed breed dogs in shelters and breed specific rescues. So remember to adopt! Dont shop!These adorable pups make excellent dogs for people with a lot of space, such as a backyard, or for highly active urban dwellers. They are sociable and loyal, which makes them a great option for both families with children and one-or-two-person homes, as well. Samuskies dont take well to boredom, and they can be a bit stubborn if not properly trained. If you want an active, loving dog who will just as happily snuggle with you as go on a hike with you, this may be the right dog for you!",https://www.dogtime.com/assets/uploads/2019/12/samusky-mixed-dog-breed-pictures-cover.jpg,2,3,3,2,5,3,4,5,4,4,4,2,2,3,4,4,3,5,3,3,2,4,5,3,4,5,Mixed Breed Dogs,20 to 24 inches,45 to 60 pounds,12 to 15 years
